city,admin_name,capital,population
"Achinsk, Russia",Krasnoyarskiy Kray,minor,99665.0
"Achocalla, Bolivia",La Paz,,18442.0
"Achuapa, Nicaragua",León,minor,13797.0
"Aci Castello, Italy",Sicilia,,17852.0
"Aci Catena, Italy",Sicilia,,27790.0
"Aci Sant'Antonio, Italy",Sicilia,,17995.0
"Acilia, Italy",Lazio,,66932.0
"Acipayam, Turkey",Denizli,minor,54888.0
"Acireale, Italy",Sicilia,,50515.0
"Acobamba, Peru",Huancavelica,,8980.0
"Acomb, United Kingdom",York,,22215.0
"Aconibe, Equatorial Guinea",Wele-Nzas,,13382.0
"Acopiara, Brazil",Ceará,minor,44962.0
"Acornhoek, South Africa",Limpopo,,33529.0
"Acoyapa, Nicaragua",Chontales,minor,16946.0
"Acquaviva delle Fonti, Italy",Puglia,,19938.0
"Acquaviva, San Marino",Acquaviva,admin,2145.0
"Acqui Terme, Italy",Piedmont,,18967.0
"Acri, Italy",Calabria,,18836.0
"Acton, Canada",Ontario,,9377.0
"Acton, United Kingdom",Ealing,,62480.0
"Acton, United States",Massachusetts,,23961.0
"Actopan, Mexico",Veracruz,minor,43388.0
"Acu, Brazil",Rio Grande do Norte,minor,47904.0
"Acucena, Brazil",Minas Gerais,minor,8943.0
"Acul du Nord, Haiti",Nord,,55908.0
"Acushnet, United States",Massachusetts,,10563.0
"Acworth, United States",Georgia,,22370.0
"Ad Dab`ah, Egypt",Maţrūḩ,,14212.0
"Ad Dabbah, Sudan",Northern,,52000.0
"Ad Dabyah, Yemen",Aḑ Ḑāli‘,,21783.0
"Ad Dakhla, Morocco",Dakhla-Oued Ed-Dahab,,106277.0
"Ad Dali`, Yemen",Aḑ Ḑāli‘,admin,21783.0
"Ad Dammam, Saudi Arabia",Ash Sharqīyah,admin,903312.0
"Ad Darb, Saudi Arabia",Jāzān,,69134.0
"Ad Darbasiyah, Syria",Al Ḩasakah,minor,8551.0
"Ad Darwa, Morocco",Casablanca-Settat,,96619.0
"Ad Dir`iyah, Saudi Arabia",Ar Riyāḑ,,19143.0
"Ad Diraz, Bahrain",Ash Shamālīyah,,18000.0
"Ad Dis, Yemen",Ḩaḑramawt,,16614.0
"Ad Diwaniyah, Iraq",Al Qādisīyah,admin,391600.0
"Ad Diwem, Sudan",White Nile,,87068.0
"Ad Dujayl, Iraq",Şalāḩ ad Dīn,,100000.0
"Ad Dulu`iyah, Iraq",Şalāḩ ad Dīn,,17000.0
"Ad Duraykish, Syria",Ţarţūs,minor,13244.0
"Ada, Nigeria",Osun,,174152.0
"Ada, Serbia",Ada,admin,10547.0
"Ada, United States",Oklahoma,,16536.0
"Adachi, Japan",Tōkyō,,682326.0
"Adakplame, Benin",Plateau,,14089.0
"Adalaj, India",Gujarāt,,11957.0
"Adalar, Turkey",İstanbul,minor,8586.0
"Adalhat, India",Uttar Pradesh,,22194.0
"Adalpur, India",Bihār,,10494.0
"Adamankottai, India",Tamil Nādu,,9638.0
"Adamantina, Brazil",São Paulo,minor,35111.0
"Adami Tulu, Ethiopia",Oromīya,,9034.0
"Adampur, India",Punjab,,22053.0
"Adams, United States",Pennsylvania,,15056.0
"Adamstown, Pitcairn Islands",,primary,47.0
"Adana, Turkey",Adana,admin,1765981.0
"Adazi, Latvia",Ādaži,admin,7535.0
"Adda-Doueni, Comoros",Anjouan,,10858.0
"Addanki, India",Andhra Pradesh,,43850.0
"Addis Ababa, Ethiopia",Ādīs Ābeba,primary,5704000.0
"Addison, United States",Illinois,,35470.0
"Addlestone, United Kingdom",Surrey,,15883.0
"Adeje, Spain",Canary Islands,,50549.0
"Adekar Kebouche, Algeria",Bejaïa,,14552.0
"Adel, United Kingdom",Leeds,,19430.0
"Adelaide River, Australia",Northern Territory,,243.0
"Adelaide, Australia",South Australia,admin,1387290.0
"Adelaide, South Africa",Eastern Cape,,12191.0
"Adelanto, United States",California,,38010.0
"Adelfia, Italy",Puglia,,16494.0
"Adelphi, United States",Maryland,,17210.0
"Adelsdorf, Germany",Bavaria,,9382.0
"Aden, Yemen",‘Adan,admin,863000.0
"Adendorf, Germany",Lower Saxony,,11053.0
"Adesar, India",Gujarāt,,9560.0
"Adet, Ethiopia",Āmara,,21117.0
"Adi Keyh, Eritrea",Ma’ĭkel,,13061.0
"Adigala, Ethiopia",Sumalē,,80440.0
"Adigappadi, India",Tamil Nādu,,10111.0
"Adigaratti, India",Tamil Nādu,,21123.0
"Adigoppula, India",Andhra Pradesh,,8816.0
"Adigrat, Ethiopia",Tigray,,57588.0
"Adilabad, India",Andhra Pradesh,,117167.0
"Adilcevaz, Turkey",Bitlis,minor,15059.0
"Adis Zemen, Ethiopia",Āmara,,24849.0
"Adis `Alem, Ethiopia",Oromīya,,13423.0
"Adivala, India",Karnātaka,,9514.0
"Adiyakkamangalam, India",Tamil Nādu,,8776.0
"Adiyaman, Turkey",Adıyaman,admin,267131.0
"Adjahome, Benin",Couffo,,16421.0
"Adjala-Tosorontio, Canada",Ontario,,10975.0
"Adjaouere, Benin",Plateau,,115953.0
"Adjarra, Benin",Ouémé,,97424.0
"Adjido, Benin",Zou,,9064.0
"Adjohon, Benin",Ouémé,,60955.0
"Adjud, Romania",Vrancea,,15178.0
"Adjumani, Uganda",Adjumani,admin,37100.0
"Adliswil, Switzerland",Zürich,,18731.0
"Ado-Ekiti, Nigeria",Ekiti,admin,446749.0
"Adohoun, Benin",Mono,,10622.0
"Adolfo Gonzales Chaves, Argentina",Buenos Aires,minor,12914.0
"Adonara, Indonesia",Nusa Tenggara Timur,,132345.0
"Adoni, India",Andhra Pradesh,,166344.0
"Adra, India",West Bengal,,21600.0
"Adra, Spain",Andalusia,,25515.0
"Adrano, Italy",Sicilia,,33899.0
"Adrar, Algeria",Adrar,admin,68276.0
"Adrasmon, Tajikistan",Sughd,,15800.0
"Adre, Chad",Ouaddaï,,12571.0
"Adria, Italy",Veneto,,18643.0
"Adrian, United States",Michigan,,20493.0
"Adrogue, Argentina",Buenos Aires,,28265.0
"Adukam, India",Kerala,,12633.0
"Aduku, Uganda",Kwania,admin,10700.0
"Aduru, India",Kerala,,11598.0
"Adustina, Brazil",Bahia,minor,14201.0
"Advi Devalpalli, India",Andhra Pradesh,,10088.0
"Adwa, Ethiopia",Tigray,,40500.0
"Adwick le Street, United Kingdom",Doncaster,,15911.0
"Adygeysk, Russia",Adygeya,minor,13224.0
"Adzope, Côte d’Ivoire",Lagunes,minor,156488.0
"Aerzen, Germany",Lower Saxony,,10544.0
"Aesch, Switzerland",Basel-Landschaft,,10352.0
"Afak, Iraq",Al Qādisīyah,minor,75000.0
"Afanyangan, Togo",Maritime,,13046.0
"Afdem, Ethiopia",Sumalē,,112840.0
"Afega, Samoa",Tuamasaga,admin,1998.0
"Affoltern am Albis, Switzerland",Zürich,,12226.0
